order_number,order_date,product_code,product_line,quantity_ordered,price_each,sales,country,year,month,quarter,continent,region,customer_id,product_id,customer_name,customer_city,customer_country
10126,2003-05-28,S10_1949,Classic Cars,38,100.0,7329.06,Spain,2003,5,2,Europe,Europe,90,2,Linnea Hautala,Toivakka,Finland
10140,2003-07-24,S10_1949,Classic Cars,37,100.0,7374.1,United States,2003,7,3,North America,Americas,70,2,Roksolana Soyka,Kalinivka,Ukraine
10150,2003-09-19,S10_1949,Classic Cars,45,100.0,10993.5,Singapore,2003,9,3,Asia,Asia,54,2,Jaydee Van Gasteren,Achttienhoven,Netherlands
10163,2003-10-20,S10_1949,Classic Cars,21,100.0,4860.24,United States,2003,10,4,North America,Americas,29,2,Eeli Keto,Posio,Finland
10174,2003-11-06,S10_1949,Classic Cars,34,100.0,8014.82,Australia,2003,11,4,Oceania,Oceania,58,2,Sessa Guevara,La Concordia (Rosita),Mexico
10183,2003-11-13,S10_1949,Classic Cars,23,100.0,5372.57,United States,2003,11,4,North America,Americas,76,2,José Manuél Palomo,Cuyutlán,Mexico
10194,2003-11-25,S10_1949,Classic Cars,42,100.0,7290.36,France,2003,11,4,Europe,Europe,36,2,Evangelino Lopes,Barbacena,Brazil
10206,2003-12-05,S10_1949,Classic Cars,47,100.0,9064.89,Canada,2003,12,4,North America,Americas,1,2,Mihaela Žigić,Gornji Milanovac,Serbia
10215,2004-01-29,S10_1949,Classic Cars,35,100.0,6075.3,United States,2004,1,1,North America,Americas,98,2,Evdokija Šakić,Ljubovija,Serbia
10228,2004-03-10,S10_1949,Classic Cars,29,100.0,6463.23,United States,2004,3,1,North America,Americas,21,2,Roberto Green,Hervey Bay,Australia
10245,2004-05-04,S10_1949,Classic Cars,34,100.0,6120.34,United States,2004,5,2,North America,Americas,90,2,Linnea Hautala,Toivakka,Finland
10258,2004-06-15,S10_1949,Classic Cars,32,100.0,7680.64,Japan,2004,6,2,Asia,Asia,55,2,Ralph Meyer,Columbia,United States
10270,2004-07-19,S10_1949,Classic Cars,21,100.0,4905.39,Australia,2004,7,3,Oceania,Oceania,44,2,Carl Tucker,Cupertino,United States
10280,2004-08-17,S10_1949,Classic Cars,34,100.0,8014.82,Italy,2004,8,3,Europe,Europe,36,2,Evangelino Lopes,Barbacena,Brazil
10291,2004-09-08,S10_1949,Classic Cars,37,100.0,7136.19,Sweden,2004,9,3,Europe,Europe,20,2,غزل یاسمی,رشت,Iran
10304,2004-10-11,S10_1949,Classic Cars,47,100.0,10172.7,France,2004,10,4,Europe,Europe,28,2,Alexis Chan,Cartwright,Canada
10312,2004-10-21,S10_1949,Classic Cars,48,100.0,11623.7,United States,2004,10,4,North America,Americas,98,2,Evdokija Šakić,Ljubovija,Serbia
10322,2004-11-04,S10_1949,Classic Cars,40,100.0,6000.4,United States,2004,11,4,North America,Americas,44,2,Carl Tucker,Cupertino,United States
10333,2004-11-18,S10_1949,Classic Cars,26,100.0,3003.0,United States,2004,11,4,North America,Americas,14,2,Sofia Sørensen,Beder,Denmark
10347,2004-11-29,S10_1949,Classic Cars,30,100.0,3944.7,Australia,2004,11,4,Oceania,Oceania,12,2,Samuel French,Dorchester,Canada
10357,2004-12-10,S10_1949,Classic Cars,32,100.0,5691.84,United States,2004,12,4,North America,Americas,49,2,Emily Poulsen,Stoevring,Denmark
10369,2005-01-20,S10_1949,Classic Cars,41,100.0,4514.92,United States,2005,1,1,North America,Americas,13,2,Morten Grønningsæter,Alta,Norway
10381,2005-02-17,S10_1949,Classic Cars,36,100.0,8254.8,United States,2005,2,1,North America,Americas,46,2,Elaine Gonzalez,Anchorage,United States
10391,2005-03-09,S10_1949,Classic Cars,24,100.0,2416.56,Australia,2005,3,1,Oceania,Oceania,45,2,Charlie Park,Tecumseh,Canada
10411,2005-05-01,S10_1949,Classic Cars,23,100.0,4140.23,Canada,2005,5,2,North America,Americas,78,2,Patrick Murray,Wollongong,Australia
10424,2005-05-31,S10_1949,Classic Cars,50,100.0,12001.0,Spain,2005,5,2,Europe,Europe,34,2,Cathriona Campbell,Birr,Ireland
10107,2003-02-24,S10_2016,Motorcycles,39,99.91,3896.49,United States,2003,2,1,North America,Americas,6,3,Corina Brunet,S-Chanf,Switzerland
10120,2003-04-29,S10_2016,Motorcycles,29,96.34,2793.86,Australia,2003,4,2,Oceania,Oceania,94,3,Eino Jarvela,Närpes,Finland
10134,2003-07-01,S10_2016,Motorcycles,27,100.0,3307.77,France,2003,7,3,Europe,Europe,59,3,Necati Karaduman,Trabzon,Turkey
10145,2003-08-25,S10_2016,Motorcycles,37,100.0,5192.95,United States,2003,8,3,North America,Americas,69,3,Elijah Williams,Upper Hutt,New Zealand
10159,2003-10-10,S10_2016,Motorcycles,37,100.0,5016.83,United States,2003,10,4,North America,Americas,16,3,Amelia Hale,Oxford,United Kingdom
10168,2003-10-28,S10_2016,Motorcycles,27,100.0,3660.93,United States,2003,10,4,North America,Americas,49,3,Emily Poulsen,Stoevring,Denmark
10180,2003-11-11,S10_2016,Motorcycles,42,100.0,4695.6,France,2003,11,4,Europe,Europe,11,3,Lejla Arnaud,Villars-sur-Glâne,Switzerland
10188,2003-11-18,S10_2016,Motorcycles,38,96.34,3660.92,Norway,2003,11,4,Europe,Europe,71,3,Efe Tekelioğlu,Isparta,Turkey
10201,2003-12-01,S10_2016,Motorcycles,24,100.0,3025.92,United States,2003,12,4,North America,Americas,38,3,Leonardo Tafoya,Cerritos de Villa de Pozos,Mexico
10210,2004-01-12,S10_2016,Motorcycles,23,100.0,3009.09,Japan,2004,1,1,Asia,Asia,81,3,Anders Sanne,Hægeland,Norway
10223,2004-02-20,S10_2016,Motorcycles,47,100.0,5422.39,Australia,2004,2,1,Oceania,Oceania,80,3,Dulce Ureña,Cozumel,Mexico
10236,2004-04-03,S10_2016,Motorcycles,22,100.0,2852.08,United States,2004,4,2,North America,Americas,47,3,Maximiliano Peralta,Comanjilla,Mexico
10251,2004-05-18,S10_2016,Motorcycles,44,100.0,5756.52,United States,2004,5,2,North America,Americas,74,3,Elias Jørgensen,Aarhus N,Denmark
10263,2004-06-28,S10_2016,Motorcycles,40,100.0,4472.0,United States,2004,6,2,North America,Americas,25,3,Selmo Ribeiro,Rio Claro,Brazil
10275,2004-07-23,S10_2016,Motorcycles,22,100.0,2904.44,France,2004,7,3,Europe,Europe,91,3,Claire Gaillard,Nancy,France
10285,2004-08-27,S10_2016,Motorcycles,47,100.0,6484.59,United States,2004,8,3,North America,Americas,9,3,Charles Ennis,Minto,Canada
10298,2004-09-27,S10_2016,Motorcycles,39,96.34,3757.26,France,2004,9,3,Europe,Europe,6,3,Corina Brunet,S-Chanf,Switzerland
10308,2004-10-15,S10_2016,Motorcycles,34,100.0,4043.96,United States,2004,10,4,North America,Americas,85,3,Ildiko Hagel,Hirschhorn (Neckar),Germany
10318,2004-11-02,S10_2016,Motorcycles,45,100.0,5566.5,United States,2004,11,4,North America,Americas,30,3,Odete Silva,Cascavel,Brazil
10329,2004-11-15,S10_2016,Motorcycles,20,100.0,3176.0,United States,2004,11,4,North America,Americas,99,3,Adriane Mendes,Garanhuns,Brazil
10339,2004-11-23,S10_2016,Motorcycles,40,68.92,2756.8,Japan,2004,11,4,Asia,Asia,38,3,Leonardo Tafoya,Cerritos de Villa de Pozos,Mexico
10361,2004-12-17,S10_2016,Motorcycles,26,51.15,1329.9,Australia,2004,12,4,Oceania,Oceania,11,3,Lejla Arnaud,Villars-sur-Glâne,Switzerland
10374,2005-02-02,S10_2016,Motorcycles,39,100.0,5288.01,Australia,2005,2,1,Oceania,Oceania,30,3,Odete Silva,Cascavel,Brazil
10388,2005-03-03,S10_2016,Motorcycles,50,44.51,2225.5,United States,2005,3,1,North America,Americas,13,3,Morten Grønningsæter,Alta,Norway
10402,2005-04-07,S10_2016,Motorcycles,45,100.0,5833.8,France,2005,4,2,Europe,Europe,49,3,Emily Poulsen,Stoevring,Denmark
10417,2005-05-13,S10_2016,Motorcycles,45,100.0,5887.35,Spain,2005,5,2,Europe,Europe,36,3,Evangelino Lopes,Barbacena,Brazil
10107,2003-02-24,S10_4698,Motorcycles,27,100.0,6065.55,United States,2003,2,1,North America,Americas,59,4,Necati Karaduman,Trabzon,Turkey
10120,2003-04-29,S10_4698,Motorcycles,46,100.0,9264.86,Australia,2003,4,2,Oceania,Oceania,82,4,Parth Mugeraya,Sasaram,India
10134,2003-07-01,S10_4698,Motorcycles,31,100.0,7023.98,France,2003,7,3,Europe,Europe,47,4,Maximiliano Peralta,Comanjilla,Mexico
10145,2003-08-25,S10_4698,Motorcycles,33,100.0,5176.38,United States,2003,8,3,North America,Americas,21,4,Roberto Green,Hervey Bay,Australia
10159,2003-10-10,S10_4698,Motorcycles,22,100.0,4132.7,United States,2003,10,4,North America,Americas,48,4,Fabiola Le Gall,Steffisburg,Switzerland
10168,2003-10-28,S10_4698,Motorcycles,20,100.0,4183.0,United States,2003,10,4,North America,Americas,46,4,Elaine Gonzalez,Anchorage,United States
10180,2003-11-11,S10_4698,Motorcycles,41,100.0,8892.9,France,2003,11,4,Europe,Europe,27,4,Manuel Kelly,Tweed,Australia
10188,2003-11-18,S10_4698,Motorcycles,45,100.0,8714.7,Norway,2003,11,4,Europe,Europe,86,4,Clyde Terry,Laytown-Bettystown-Mornington,Ireland
10201,2003-12-01,S10_4698,Motorcycles,49,100.0,8065.89,United States,2003,12,4,North America,Americas,35,4,Madison Diaz,Sunshine Coast,Australia
10210,2004-01-12,S10_4698,Motorcycles,34,100.0,6123.4,Japan,2004,1,1,Asia,Asia,90,4,Linnea Hautala,Toivakka,Finland
10223,2004-02-20,S10_4698,Motorcycles,49,100.0,9774.03,Australia,2004,2,1,Oceania,Oceania,88,4,Laura Parra,Almería,Spain
10237,2004-04-05,S10_4698,Motorcycles,39,100.0,7023.9,United States,2004,4,2,North America,Americas,83,4,Randall Berry,Australian Capital Territory,Australia
10251,2004-05-18,S10_4698,Motorcycles,43,100.0,7078.23,United States,2004,5,2,North America,Americas,10,4,Joris Bertrand,Mulhouse,France
10263,2004-06-28,S10_4698,Motorcycles,41,100.0,8336.94,United States,2004,6,2,North America,Americas,78,4,Patrick Murray,Wollongong,Australia
10275,2004-07-23,S10_4698,Motorcycles,36,100.0,6901.92,France,2004,7,3,Europe,Europe,82,4,Parth Mugeraya,Sasaram,India
10285,2004-08-27,S10_4698,Motorcycles,27,100.0,5438.07,United States,2004,8,3,North America,Americas,22,4,Diana Ray,Kinsale,Ireland
10299,2004-09-30,S10_4698,Motorcycles,29,100.0,6683.34,Finland,2004,9,3,Europe,Europe,69,4,Elijah Williams,Upper Hutt,New Zealand
10308,2004-10-15,S10_4698,Motorcycles,20,100.0,4570.4,United States,2004,10,4,North America,Americas,94,4,Eino Jarvela,Närpes,Finland
10318,2004-11-02,S10_4698,Motorcycles,37,100.0,7667.14,United States,2004,11,4,North America,Americas,32,4,Dalia Benavídez,Monte Escobedo,Mexico
10329,2004-11-15,S10_4698,Motorcycles,26,100.0,5868.2,United States,2004,11,4,North America,Americas,21,4,Roberto Green,Hervey Bay,Australia
10339,2004-11-23,S10_4698,Motorcycles,39,76.67,2990.13,Japan,2004,11,4,Asia,Asia,60,4,Eugenia Tafoya,Nuevo Tantoán,Mexico
10362,2005-01-05,S10_4698,Motorcycles,22,100.0,3664.1,United States,2005,1,1,North America,Americas,49,4,Emily Poulsen,Stoevring,Denmark
10374,2005-02-02,S10_4698,Motorcycles,22,100.0,3834.38,Australia,2005,2,1,Oceania,Oceania,35,4,Madison Diaz,Sunshine Coast,Australia
10388,2005-03-03,S10_4698,Motorcycles,21,86.77,1822.17,United States,2005,3,1,North America,Americas,82,4,Parth Mugeraya,Sasaram,India
10403,2005-04-08,S10_4698,Motorcycles,66,100.0,11886.6,United Kingdom,2005,4,2,Europe,Europe,89,4,Nixon Brown,Invercargill,New Zealand
10417,2005-05-13,S10_4698,Motorcycles,56,100.0,9218.16,Spain,2005,5,2,Europe,Europe,72,4,Feliciano Fernandes,Crato,Brazil
10105,2003-02-11,S10_4757,Classic Cars,50,100.0,7208.0,Denmark,2003,2,1,Europe,Europe,29,5,Eeli Keto,Posio,Finland
10119,2003-04-28,S10_4757,Classic Cars,46,100.0,5004.8,Austria,2003,4,2,Europe,Europe,88,5,Laura Parra,Almería,Spain
10129,2003-06-12,S10_4757,Classic Cars,33,100.0,4398.24,United Kingdom,2003,6,2,Europe,Europe,42,5,Flavio Zúñiga,Villa Juárez (La Trozada),Mexico
10143,2003-08-10,S10_4757,Classic Cars,49,100.0,5597.76,United States,2003,8,3,North America,Americas,99,5,Adriane Mendes,Garanhuns,Brazil
10155,2003-10-06,S10_4757,Classic Cars,32,100.0,4526.08,Finland,2003,10,4,Europe,Europe,100,5,Bertram Thomsen,V.Skerninge,Denmark
10167,2003-10-23,S10_4757,Classic Cars,44,100.0,5924.16,Sweden,2003,10,4,Europe,Europe,8,5,Pierre-Alain Bonnet,Bettingen,Switzerland
10178,2003-11-08,S10_4757,Classic Cars,24,100.0,3492.48,France,2003,11,4,Europe,Europe,30,5,Odete Silva,Cascavel,Brazil
10186,2003-11-14,S10_4757,Classic Cars,26,100.0,3854.24,United Kingdom,2003,11,4,Europe,Europe,5,5,Ratimir Vlahović,Medveđa,Serbia
10197,2003-11-26,S10_4757,Classic Cars,45,100.0,5324.4,Spain,2003,11,4,Europe,Europe,41,5,Önal Kuzucu,Zonguldak,Turkey
10209,2004-01-09,S10_4757,Classic Cars,39,100.0,5197.92,United States,2004,1,1,North America,Americas,52,5,Enrique Velasco,San Sebastián de Los Reyes,Spain
10222,2004-02-19,S10_4757,Classic Cars,49,100.0,5997.6,United States,2004,2,1,North America,Americas,35,5,Madison Diaz,Sunshine Coast,Australia
10248,2004-05-07,S10_4757,Classic Cars,20,100.0,2910.4,United States,2004,5,2,North America,Americas,9,5,Charles Ennis,Minto,Canada
10261,2004-06-17,S10_4757,Classic Cars,27,100.0,3378.24,Canada,2004,6,2,North America,Americas,28,5,Alexis Chan,Cartwright,Canada
10273,2004-07-21,S10_4757,Classic Cars,30,100.0,3508.8,Belgium,2004,7,3,Europe,Europe,73,5,Pavlina Dacenko,Popasna,Ukraine
10283,2004-08-20,S10_4757,Classic Cars,25,100.0,2992.0,Canada,2004,8,3,North America,Americas,92,5,Aatu Makela,Sauvo,Finland
10295,2004-09-10,S10_4757,Classic Cars,24,100.0,3427.2,United States,2004,9,3,North America,Americas,41,5,Önal Kuzucu,Zonguldak,Turkey
10307,2004-10-14,S10_4757,Classic Cars,22,100.0,2692.8,United States,2004,10,4,North America,Americas,28,5,Alexis Chan,Cartwright,Canada
10316,2004-11-01,S10_4757,Classic Cars,33,100.0,4128.96,United Kingdom,2004,11,4,Europe,Europe,84,5,Lenice Cardoso,Patos,Brazil
10325,2004-11-05,S10_4757,Classic Cars,47,64.93,3051.71,Norway,2004,11,4,Europe,Europe,64,5,Charlie Grewal,Tecumseh,Canada
10337,2004-11-21,S10_4757,Classic Cars,25,48.05,1201.25,United States,2004,11,4,North America,Americas,51,5,Velibor Vrhovac,Paraćin,Serbia
10350,2004-12-02,S10_4757,Classic Cars,26,75.47,1962.22,Spain,2004,12,4,Europe,Europe,83,5,Randall Berry,Australian Capital Territory,Australia
10359,2004-12-15,S10_4757,Classic Cars,48,54.68,2624.64,France,2004,12,4,Europe,Europe,59,5,Necati Karaduman,Trabzon,Turkey
10373,2005-01-31,S10_4757,Classic Cars,39,100.0,4046.25,Finland,2005,1,1,Europe,Europe,19,5,Oğuzhan Balaban,Ağrı,Turkey
10384,2005-02-23,S10_4757,Classic Cars,34,100.0,4846.7,United States,2005,2,1,North America,Americas,34,5,Cathriona Campbell,Birr,Ireland
10395,2005-03-17,S10_4757,Classic Cars,32,100.0,3370.56,France,2005,3,1,Europe,Europe,18,5,Roope Niemela,Ylitornio,Finland
10400,2005-04-01,S10_4757,Classic Cars,64,100.0,9661.44,United States,2005,4,2,North America,Americas,32,5,Dalia Benavídez,Monte Escobedo,Mexico
10414,2005-05-06,S10_4757,Classic Cars,19,100.0,2764.88,United States,2005,5,2,North America,Americas,96,5,Mileah Folkestad,Sysle,Norway
10103,2003-01-29,S10_4962,Classic Cars,42,100.0,5398.26,Norway,2003,1,1,Europe,Europe,72,6,Feliciano Fernandes,Crato,Brazil
10114,2003-04-01,S10_4962,Classic Cars,31,100.0,4305.28,France,2003,4,2,Europe,Europe,69,6,Elijah Williams,Upper Hutt,New Zealand
10126,2003-05-28,S10_4962,Classic Cars,22,100.0,3347.74,Spain,2003,5,2,Europe,Europe,34,6,Cathriona Campbell,Birr,Ireland
10140,2003-07-24,S10_4962,Classic Cars,26,100.0,3188.12,United States,2003,7,3,North America,Americas,96,6,Mileah Folkestad,Sysle,Norway
10150,2003-09-19,S10_4962,Classic Cars,20,100.0,3191.2,Singapore,2003,9,3,Asia,Asia,75,6,Slavica Thomsen,Friesland,Germany
10164,2003-10-21,S10_4962,Classic Cars,21,100.0,3536.82,Austria,2003,10,4,Europe,Europe,55,6,Ralph Meyer,Columbia,United States
10175,2003-11-06,S10_4962,Classic Cars,33,100.0,5362.83,United Kingdom,2003,11,4,Europe,Europe,75,6,Slavica Thomsen,Friesland,Germany
10183,2003-11-13,S10_4962,Classic Cars,28,100.0,3433.36,United States,2003,11,4,North America,Americas,52,6,Enrique Velasco,San Sebastián de Los Reyes,Spain
10194,2003-11-25,S10_4962,Classic Cars,26,100.0,4263.74,France,2003,11,4,Europe,Europe,47,6,Maximiliano Peralta,Comanjilla,Mexico
10207,2003-12-09,S10_4962,Classic Cars,31,100.0,4076.19,United States,2003,12,4,North America,Americas,29,6,Eeli Keto,Posio,Finland
10217,2004-02-04,S10_4962,Classic Cars,48,100.0,7020.48,Singapore,2004,2,1,Asia,Asia,18,6,Roope Niemela,Ylitornio,Finland
10229,2004-03-11,S10_4962,Classic Cars,50,100.0,6426.5,United States,2004,3,1,North America,Americas,66,6,Caridad Almonte,José Guadalupe Aguilera,Mexico
10245,2004-05-04,S10_4962,Classic Cars,28,100.0,4591.72,United States,2004,5,2,North America,Americas,64,6,Charlie Grewal,Tecumseh,Canada
10259,2004-06-15,S10_4962,Classic Cars,26,100.0,4033.38,Singapore,2004,6,2,Asia,Asia,12,6,Samuel French,Dorchester,Canada
10270,2004-07-19,S10_4962,Classic Cars,32,100.0,4302.08,Australia,2004,7,3,Oceania,Oceania,97,6,Paola Gauthier,Varen,Switzerland
10281,2004-08-19,S10_4962,Classic Cars,44,100.0,7020.64,United States,2004,8,3,North America,Americas,7,6,اميرمحمد صدر,نجف‌آباد,Iran
10291,2004-09-08,S10_4962,Classic Cars,30,100.0,3855.9,Sweden,2004,9,3,Europe,Europe,15,6,Milorad Španović,Bačka Palanka,Serbia
10305,2004-10-13,S10_4962,Classic Cars,38,100.0,6680.78,United States,2004,10,4,North America,Americas,20,6,غزل یاسمی,رشت,Iran
10313,2004-10-22,S10_4962,Classic Cars,40,100.0,6678.0,Canada,2004,10,4,North America,Americas,81,6,Anders Sanne,Hægeland,Norway
10322,2004-11-04,S10_4962,Classic Cars,46,61.99,2851.54,United States,2004,11,4,North America,Americas,21,6,Roberto Green,Hervey Bay,Australia
10334,2004-11-19,S10_4962,Classic Cars,26,100.0,3188.12,Sweden,2004,11,4,Europe,Europe,88,6,Laura Parra,Almería,Spain
10347,2004-11-29,S10_4962,Classic Cars,27,100.0,4428.0,Australia,2004,11,4,Oceania,Oceania,55,6,Ralph Meyer,Columbia,United States
10357,2004-12-10,S10_4962,Classic Cars,43,100.0,5780.92,United States,2004,12,4,North America,Americas,77,6,Debra Kim,York,United Kingdom
10370,2005-01-20,S10_4962,Classic Cars,35,65.63,2297.05,Australia,2005,1,1,Oceania,Oceania,9,6,Charles Ennis,Minto,Canada
10381,2005-02-17,S10_4962,Classic Cars,37,100.0,6231.54,United States,2005,2,1,North America,Americas,50,6,Julie Sims,Carlisle,United Kingdom
10391,2005-03-09,S10_4962,Classic Cars,37,46.9,1735.3,Australia,2005,3,1,Oceania,Oceania,49,6,Emily Poulsen,Stoevring,Denmark
10411,2005-05-01,S10_4962,Classic Cars,27,100.0,4427.73,Canada,2005,5,2,North America,Americas,77,6,Debra Kim,York,United Kingdom
10425,2005-05-31,S10_4962,Classic Cars,38,100.0,5894.94,France,2005,5,2,Europe,Europe,60,6,Eugenia Tafoya,Nuevo Tantoán,Mexico
10108,2003-03-03,S12_1099,Classic Cars,33,100.0,5265.15,Philippines,2003,3,1,Asia,Asia,68,7,Lukas Picard,Vitry-sur-Seine,France
10122,2003-05-08,S12_1099,Classic Cars,42,100.0,7599.9,France,2003,5,2,Europe,Europe,33,7,Kasper Salonen,Mynämäki,Finland
10135,2003-07-02,S12_1099,Classic Cars,42,100.0,8008.56,United States,2003,7,3,North America,Americas,71,7,Efe Tekelioğlu,Isparta,Turkey
10147,2003-09-05,S12_1099,Classic Cars,48,100.0,9245.76,United States,2003,9,3,North America,Americas,2,7,آوا علیزاده,کاشان,Iran
10159,2003-10-10,S12_1099,Classic Cars,41,100.0,8296.35,United States,2003,10,4,North America,Americas,88,7,Laura Parra,Almería,Spain
10169,2003-11-04,S12_1099,Classic Cars,30,100.0,5019.9,Australia,2003,11,4,Oceania,Oceania,93,7,Charlotte White,Waterloo,Canada
10181,2003-11-12,S12_1099,Classic Cars,27,100.0,5411.07,Norway,2003,11,4,Europe,Europe,15,7,Milorad Španović,Bačka Palanka,Serbia
10191,2003-11-20,S12_1099,Classic Cars,21,100.0,3840.9,Germany,2003,11,4,Europe,Europe,88,7,Laura Parra,Almería,Spain
10203,2003-12-02,S12_1099,Classic Cars,20,100.0,3930.4,Spain,2003,12,4,Europe,Europe,69,7,Elijah Williams,Upper Hutt,New Zealand
10211,2004-01-15,S12_1099,Classic Cars,41,100.0,7498.9,France,2004,1,1,Europe,Europe,97,7,Paola Gauthier,Varen,Switzerland
10225,2004-02-22,S12_1099,Classic Cars,27,100.0,4517.91,Switzerland,2004,2,1,Europe,Europe,35,7,Madison Diaz,Sunshine Coast,Australia
10238,2004-04-09,S12_1099,Classic Cars,28,100.0,5774.72,Denmark,2004,4,2,Europe,Europe,99,7,Adriane Mendes,Garanhuns,Brazil
10253,2004-06-01,S12_1099,Classic Cars,24,100.0,3922.56,United Kingdom,2004,6,2,Europe,Europe,83,7,Randall Berry,Australian Capital Territory,Australia
10266,2004-07-06,S12_1099,Classic Cars,44,100.0,9160.36,Italy,2004,7,3,Europe,Europe,44,7,Carl Tucker,Cupertino,United States
10276,2004-08-02,S12_1099,Classic Cars,50,100.0,9631.0,United States,2004,8,3,North America,Americas,15,7,Milorad Španović,Bačka Palanka,Serbia
10287,2004-08-30,S12_1099,Classic Cars,21,100.0,3432.24,Switzerland,2004,8,3,Europe,Europe,38,7,Leonardo Tafoya,Cerritos de Villa de Pozos,Mexico
10300,2003-10-04,S12_1099,Classic Cars,33,100.0,5521.89,Germany,2003,10,4,Europe,Europe,56,7,Prisca Leroy,Wachseldorn,Switzerland
10310,2004-10-16,S12_1099,Classic Cars,33,100.0,6934.62,Germany,2004,10,4,Europe,Europe,21,7,Roberto Green,Hervey Bay,Australia
10320,2004-11-03,S12_1099,Classic Cars,31,100.0,6876.11,Sweden,2004,11,4,Europe,Europe,59,7,Necati Karaduman,Trabzon,Turkey
